_id,title,link,summary,published,credit,author,updated,_source.name,_source.domain,_source.rss,_source.url,_fetched,_timestamp
ObjectId(5f7b97119e3182ef83b76f24),"""נקמה אכזרית מדי"": חשפה בטיקטוק את הדרך היצירתית והנוצצת בה נקמה באקס שבגד בה",https://tech.walla.co.il/item/3385526,"<p style=""direction: rtl; clear: both;"">
								 <a href=""https://tech.walla.co.il/item/3385526"">
				  					<img align=""right"" border=""0"" hspace=""5"" src=""https://img.wcdn.co.il/f_auto,w_300/3/0/6/6/3066221-46.jpg"" />
				  				 </a>
				  				 <br />משתמשת טיקטוק שיתפה את העוקבים שלה בנקמה ""האכזרית"" שארגנה לאקס שלה אחרי שבגד בה - פעמיים. כמה מהצופים התרשמו וחשבו שמדובר בנקמה מוצדקת ואחרים טענו שהגזימה. מה אתם אומרים?</p>","Mon, 05 Oct 2020 21:00:00 GMT",,,,וואלה! חדשות,ilnews,https://rss.walla.co.il/feed/1?type=main,https://www.walla.co.il/,2020-10-06T18:00:09.536Z,2020-10-05T21:00:00.000Z
ObjectId(5f7b97119e3182ef83b76f26),הזמר הננסי התארס עם קים קרדשיאן האפריקאית והכריז: רץ לנשיאות גינאה,https://news.walla.co.il/item/3389496,"<p style=""direction: rtl; clear: both;"">
								 <a href=""https://news.walla.co.il/item/3389496"">
				  					<img align=""right"" border=""0"" hspace=""5"" src=""https://img.wcdn.co.il/f_auto,w_300/3/0/7/4/3074719-46.jpg"" />
				  				 </a>
				  				 <br />המוזיקאי נמוך הקומה גראנד פי לא עוצר - אחרי שהתארס לדוגמנית מידות גדולות מחוף השנהב, שרצתה בעצמה לרוץ לנשיאות מדינתה, הוא מנסה את מזלו בפוליטיקה. בקרוב בביקור בישראל?</p>","Mon, 05 Oct 2020 20:53:00 GMT",,,,וואלה! חדשות,ilnews,https://rss.walla.co.il/feed/1?type=main,https://www.walla.co.il/,2020-10-06T17:00:10.851Z,2020-10-05T20:53:00.000Z
ObjectId(5f7b97119e3182ef83b76f28),נמצאה הוכחה שמסע בזמן אפשרי -  אבל לא תצליחו לנסוע ולעצור את הקורונה,https://news.walla.co.il/item/3389184,"<p style=""direction: rtl; clear: both;"">
								 <a href=""https://news.walla.co.il/item/3389184"">
				  					<img align=""right"" border=""0"" hspace=""5"" src=""https://img.wcdn.co.il/f_auto,w_300/2/7/4/9/2749631-46.jpg"" />
				  				 </a>
				  				 <br />סטודנט למתמטיקה טוען כי הצליח להוכיח את ההיתכנות הפיזית לסוג מסוים של מסע בזמן - אך בניגוד למה שרבים חוששים ממנו, שינויים שנעשה בעבר לא ישפיעו על ההתרחשויות בהווה ממנו הגענו</p>","Mon, 05 Oct 2020 20:48:00 GMT",,,,וואלה! חדשות,ilnews,https://rss.walla.co.il/feed/1?type=main,https://www.walla.co.il/,2020-10-06T17:00:10.853Z,2020-10-05T20:48:00.000Z
ObjectId(5f7b97119e3182ef83b76f2a),בכיר במשטרה: נשקול לבקש לפתוח בחקירה נגד גמליאל על הפצת מחלה,https://news.walla.co.il/item/3390670,"<p style=""direction: rtl; clear: both;"">
								 <a href=""https://news.walla.co.il/item/3390670"">
				  					<img align=""right"" border=""0"" hspace=""5"" src=""https://img.wcdn.co.il/f_auto,w_300/3/0/7/6/3076401-46.jpg"" />
				  				 </a>
				  				 <br />הגורם הבהיר כי אם יתגלה שהשרה שיקרה בחקירה האפידמיולוגית, במשטרה יפנו לפרקליטות. זאת לאחר שהפרה את תקנות הסגר ושהתה בטבריה - מרחק של 150 ק""מ מביתה שבתל אביב. אדלשטיין: ""ההנחיות נכתבו בדם ואין לאיש פריבילגיה לא לקיימן"". חקירת שר מכהן דורשת את אישור היועמ""ש</p>","Mon, 05 Oct 2020 19:00:00 GMT",,,,וואלה! חדשות,ilnews,https://rss.walla.co.il/feed/1?type=main,https://www.walla.co.il/,2020-10-06T16:00:13.537Z,2020-10-05T19:00:00.000Z
ObjectId(5f7b97119e3182ef83b76f2c),"פנייה לנתניהו והיועמ""ש: לבטל גיוס אנשי שב""כ למאבק בקורונה בחברה הערבית",https://news.walla.co.il/item/3390499,"<p style=""direction: rtl; clear: both;"">
								 <a href=""https://news.walla.co.il/item/3390499"">
				  					<img align=""right"" border=""0"" hspace=""5"" src=""https://img.wcdn.co.il/f_auto,w_300/3/0/7/6/3076506-46.jpg"" />
				  				 </a>
				  				 <br />בעקבות הפרסום בוואלה! NEWS, ארגון עדאלה דרש מהשניים כי יתערבו בשילוב יוצאי שב""כ בגיבוש תמונת מצב בחברה הערבית והדרוזית. ח""כ תומא סלימאן שיגרה פנייה דומה, ח""כ בן ברק: ""הממשלה לא הפנימה שאזרח ישראלי הוא שווה זכויות"". בצה""ל הכחישו תחילה את הפרטים</p>","Mon, 05 Oct 2020 18:28:00 GMT",,,,וואלה! חדשות,ilnews,https://rss.walla.co.il/feed/1?type=main,https://www.walla.co.il/,2020-10-06T15:00:15.141Z,2020-10-05T18:28:00.000Z
ObjectId(5f7b97119e3182ef83b76f2e),המחאה בבלפור וברחבי הארץ נולדה מתוך טראומת מלחמת יום כיפור,https://news.walla.co.il/item/3390664,"<p style=""direction: rtl; clear: both;"">
								 <a href=""https://news.walla.co.il/item/3390664"">
				  					<img align=""right"" border=""0"" hspace=""5"" src=""https://img.wcdn.co.il/f_auto,w_300/3/0/7/5/3075770-46.jpeg"" />
				  				 </a>
				  				 <br />שלושה מיתוסים עיקריים הצמיחה מלחמת יום כיפור: מיתוס השלום שהוחמץ על ידי גולדה מאיר, מיתוס המחדל והמודיעין ומיתוס חבל התלייה הציבורי. 47 שנים אחרי, הגיע הזמן לבחון מחדש את אותם מיתוסים ואת הקשר בין מחאת מוצב בודפשט של מוטי אשכנזי למחאת בלפור</p>","Mon, 05 Oct 2020 18:26:00 GMT",,,,וואלה! חדשות,ilnews,https://rss.walla.co.il/feed/1?type=main,https://www.walla.co.il/,2020-10-06T15:00:15.143Z,2020-10-05T18:26:00.000Z
ObjectId(5f7b97119e3182ef83b76f30),"ח""כ מיקי לוי יעזוב את תפקידו בוועדת הקורונה לאחר שהפר את הנחיות הסגר",https://news.walla.co.il/item/3390659,"<p style=""direction: rtl; clear: both;"">
								 <a href=""https://news.walla.co.il/item/3390659"">
				  					<img align=""right"" border=""0"" hspace=""5"" src=""https://img.wcdn.co.il/f_auto,w_300/3/0/4/3/3043710-46.jpeg"" />
				  				 </a>
				  				 <br />יו""ר יש עתיד שוחח עם חבר הכנסת בעקבות הפרסום כי הפר את התקנות, כשביקר ואירח קרובי משפחה שאינם מתגוררים עמו באותו הבית. בשיחה, סוכם על הדחתו מהוועדה. ח""כ לוי התנצל: ""אשלם כל קנס שיוטל עליי""</p>","Mon, 05 Oct 2020 17:22:00 GMT",,,,וואלה! חדשות,ilnews,https://rss.walla.co.il/feed/1?type=main,https://www.walla.co.il/,2020-10-06T15:00:15.144Z,2020-10-05T17:22:00.000Z
ObjectId(5f7b97119e3182ef83b76f32),"רקטה התפוצצה בשטח פתוח באשכול, צה""ל תקף עמדת חמאס ברצועת עזה",https://news.walla.co.il/item/3390657,"<p style=""direction: rtl; clear: both;"">
								 <a href=""https://news.walla.co.il/item/3390657"">
				  					<img align=""right"" border=""0"" hspace=""5"" src=""https://img.wcdn.co.il/f_auto,w_300/3/0/5/9/3059252-46.jpg"" />
				  				 </a>
				  				 <br />הנפילה לא גרמה לנפגעים או נזק, ובתגובה כלי טיס תקף מטרה של ארגון הטרור בדרום הרצועה. התושבים חוששים מהסלמה: ""מקווים שלא יהיו רקטות בחג"". התקרית מגיעה יום לפני חלוקת הכסף הקטארי. בחמאס הזהירו בעבר כי אם ישראל לא תיישם את ההבנות - הארגון ""יחזור לסבב הסלמה""</p>","Mon, 05 Oct 2020 17:21:00 GMT",,,,וואלה! חדשות,ilnews,https://rss.walla.co.il/feed/1?type=main,https://www.walla.co.il/,2020-10-06T15:00:15.146Z,2020-10-05T17:21:00.000Z
ObjectId(5f7b97119e3182ef83b76f34),אשכנזי ימריא לברלין לפסגה עם שרי החוץ של איחוד האמירויות וגרמניה,https://news.walla.co.il/item/3390637,"<p style=""direction: rtl; clear: both;"">
								 <a href=""https://news.walla.co.il/item/3390637"">
				  					<img align=""right"" border=""0"" hspace=""5"" src=""https://img.wcdn.co.il/f_auto,w_300/3/0/6/1/3061632-46.jpg"" />
				  				 </a>
				  				 <br />הפגישה המשולשת מתקיימת ביוזמת שר החוץ הגרמני, שנועד לאחרונה עם שגרירי ישראל והאמירויות במדינה. שר החוץ ייפגש בנפרד עם מקבילו האמירתי וידון עמו בהתקדמות המגעים על הנספחים השונים של ההסכם בין המדינות, בהם תעופה, יחסים דיפלומטיים והשקעות</p>","Mon, 05 Oct 2020 16:17:00 GMT",,,,וואלה! חדשות,ilnews,https://rss.walla.co.il/feed/1?type=main,https://www.walla.co.il/,2020-10-06T14:00:10.081Z,2020-10-05T16:17:00.000Z
ObjectId(5f7b97119e3182ef83b76f36),חוקרים: אין אפשרות להגיע לחסינות עדר,https://news.walla.co.il/item/3390502,"<p style=""direction: rtl; clear: both;"">
								 <a href=""https://news.walla.co.il/item/3390502"">
				  					<img align=""right"" border=""0"" hspace=""5"" src=""https://img.wcdn.co.il/f_auto,w_300/3/0/5/9/3059291-46.jpg"" />
				  				 </a>
				  				 <br />מודל חישובי שנעשה על אוכלוסיית בריטניה מראה שאין שום תרחיש מעשי שיאפשר להדביק רק אנשים צעירים ובריאים בנגיף הקורונה, בלי להביא לקריסה של מערכות הבריאות</p>","Mon, 05 Oct 2020 15:35:00 GMT",,,,וואלה! חדשות,ilnews,https://rss.walla.co.il/feed/1?type=main,https://www.walla.co.il/,2020-10-06T13:00:08.158Z,2020-10-05T15:35:00.000Z
